Date,Close,Ticker
31-08-2020,,A
01-09-2020,,A
02-09-2020,,A
03-09-2020,,A
04-09-2020,,A
07-09-2020,,A
08-09-2020,,A
09-09-2020,,A
10-09-2020,,A
11-09-2020,,A
14-09-2020,,A
15-09-2020,,A
16-09-2020,,A
17-09-2020,,A
18-09-2020,,A
21-09-2020,,A
22-09-2020,,A
23-09-2020,,A
24-09-2020,,A
25-09-2020,,A
28-09-2020,,A
29-09-2020,,A
30-09-2020,,A
01-10-2020,,A
05-10-2020,,A
06-10-2020,,A
07-10-2020,,A
08-10-2020,,A
09-10-2020,,A
12-10-2020,,A
13-10-2020,,A
14-10-2020,,A
15-10-2020,,A
16-10-2020,,A
19-10-2020,,A
20-10-2020,,A
21-10-2020,,A
22-10-2020,,A
23-10-2020,,A
26-10-2020,,A
27-10-2020,,A
28-10-2020,,A
29-10-2020,,A
30-10-2020,,A
02-11-2020,,A
03-11-2020,,A
04-11-2020,,A
05-11-2020,,A
06-11-2020,,A
09-11-2020,,A
10-11-2020,,A
11-11-2020,,A
12-11-2020,,A
13-11-2020,,A
14-11-2020,,A
17-11-2020,,A
18-11-2020,,A
19-11-2020,,A
20-11-2020,,A
23-11-2020,,A
24-11-2020,,A
25-11-2020,,A
26-11-2020,,A
27-11-2020,,A
01-12-2020,,A
02-12-2020,,A
03-12-2020,,A
04-12-2020,,A
07-12-2020,,A
08-12-2020,,A
09-12-2020,,A
10-12-2020,,A
11-12-2020,,A
14-12-2020,,A
15-12-2020,,A
16-12-2020,,A
17-12-2020,,A
18-12-2020,,A
21-12-2020,,A
22-12-2020,,A
23-12-2020,,A
24-12-2020,,A
28-12-2020,,A
29-12-2020,,A
30-12-2020,,A
31-12-2020,,A
01-01-2021,,A
04-01-2021,,A
05-01-2021,,A
06-01-2021,,A
07-01-2021,,A
08-01-2021,,A
11-01-2021,,A
12-01-2021,,A
13-01-2021,,A
14-01-2021,,A
15-01-2021,,A
18-01-2021,,A
19-01-2021,,A
20-01-2021,,A
21-01-2021,,A
22-01-2021,,A
25-01-2021,,A
27-01-2021,,A
28-01-2021,,A
29-01-2021,,A
01-02-2021,,A
02-02-2021,,A
03-02-2021,,A
04-02-2021,,A
05-02-2021,,A
08-02-2021,,A
09-02-2021,,A
10-02-2021,,A
11-02-2021,,A
12-02-2021,,A
15-02-2021,,A
16-02-2021,,A
17-02-2021,,A
18-02-2021,,A
19-02-2021,,A
22-02-2021,,A
23-02-2021,,A
24-02-2021,,A
25-02-2021,,A
26-02-2021,,A
01-03-2021,,A
02-03-2021,,A
03-03-2021,,A
04-03-2021,,A
05-03-2021,,A
08-03-2021,,A
09-03-2021,,A
10-03-2021,,A
12-03-2021,,A
15-03-2021,,A
16-03-2021,,A
17-03-2021,,A
18-03-2021,,A
19-03-2021,,A
22-03-2021,,A
23-03-2021,,A
24-03-2021,,A
25-03-2021,,A
26-03-2021,,A
30-03-2021,,A
31-03-2021,,A
01-04-2021,,A
05-04-2021,,A
06-04-2021,,A
07-04-2021,,A
08-04-2021,,A
09-04-2021,,A
12-04-2021,,A
13-04-2021,,A
15-04-2021,,A
16-04-2021,,A
19-04-2021,,A
20-04-2021,,A
22-04-2021,,A
23-04-2021,,A
26-04-2021,,A
27-04-2021,,A
28-04-2021,,A
29-04-2021,,A
30-04-2021,,A
03-05-2021,,A
04-05-2021,,A
05-05-2021,,A
06-05-2021,,A
07-05-2021,,A
10-05-2021,,A
11-05-2021,,A
12-05-2021,,A
14-05-2021,,A
17-05-2021,,A
18-05-2021,,A
19-05-2021,,A
20-05-2021,,A
21-05-2021,,A
24-05-2021,,A
25-05-2021,,A
26-05-2021,,A
27-05-2021,,A
28-05-2021,,A
31-05-2021,,A
01-06-2021,,A
02-06-2021,,A
03-06-2021,,A
04-06-2021,,A
07-06-2021,,A
08-06-2021,,A
09-06-2021,,A
10-06-2021,,A
11-06-2021,,A
14-06-2021,,A
15-06-2021,,A
16-06-2021,,A
17-06-2021,,A
18-06-2021,,A
21-06-2021,,A
22-06-2021,,A
23-06-2021,,A
24-06-2021,,A
25-06-2021,,A
28-06-2021,,A
29-06-2021,,A
30-06-2021,,A
01-07-2021,,A
02-07-2021,,A
05-07-2021,,A
06-07-2021,,A
07-07-2021,,A
08-07-2021,,A
09-07-2021,,A
12-07-2021,,A
13-07-2021,,A
14-07-2021,,A
15-07-2021,,A
16-07-2021,,A
19-07-2021,,A
20-07-2021,,A
22-07-2021,,A
23-07-2021,,A
26-07-2021,,A
27-07-2021,,A
28-07-2021,,A
29-07-2021,,A
30-07-2021,,A
02-08-2021,,A
03-08-2021,,A
04-08-2021,,A
05-08-2021,,A
06-08-2021,,A
09-08-2021,,A
10-08-2021,,A
11-08-2021,,A
12-08-2021,,A
13-08-2021,,A
16-08-2021,,A
17-08-2021,,A
18-08-2021,,A
20-08-2021,,A
23-08-2021,,A
24-08-2021,,A
25-08-2021,,A
26-08-2021,,A
27-08-2021,,A
30-08-2021,,A
31-08-2021,,A
01-09-2021,,A
02-09-2021,,A
03-09-2021,,A
06-09-2021,,A
07-09-2021,,A
